"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"A. W. Roscoe","GreaterEuropean","British","\N","-","conf/fse/NguyenR12",1
"A. Winsor Brown","GreaterEuropean","British","\N","-","conf/icse/BoehmBT05",1
"A. Wong","Asian","GreaterEastAsian","EastAsian","-","conf/cvpr/Wong11",0
"A. Yilmaz Çamurcu","GreaterAfrican","Muslim","\N","-","conf/adbis/BilginC07",1
"A. Yip","Asian","GreaterEastAsian","EastAsian","-","conf/www/Yip04",0
"A. Yoshioka","Asian","GreaterEastAsian","Japanese","-","conf/cvpr/MatsuyamaHWMY00",4
"Øystein Haugen","GreaterEuropean","WestEuropean","Nordic","M","conf/er/MohagheghiH10",1
"Øystein Haugen","GreaterEuropean","WestEuropean","Nordic","M","conf/icse/SaratxagaAHEM12",2
"Øystein Haugen","GreaterEuropean","WestEuropean","Nordic","M","conf/fase/OldevikHM09",1
"Øystein Haugen","GreaterEuropean","WestEuropean","Nordic","M","conf/wcre/ArcegaFHC16",2
"Øystein Haugen","GreaterEuropean","WestEuropean","Nordic","M","conf/gpce/FontAHC15",2
"Øystein Nytrø","GreaterEuropean","WestEuropean","Nordic","M","conf/icse/NytroSK09",0
"Øystein Nytrø","GreaterEuropean","WestEuropean","Nordic","M","conf/icde/SaetreNNS16",1
"Øystein Skotheim","GreaterEuropean","EastEuropean","\N","M","conf/cvpr/BreivikTBSK11",3
"Øystein Torbjørnsen","GreaterEuropean","WestEuropean","Nordic","M","conf/sigmod/BratsbergT00",2
"Øystein Torbjørnsen","GreaterEuropean","WestEuropean","Nordic","M","conf/cikm/BjorklundGGT09",3
"Øystein Torbjørnsen","GreaterEuropean","WestEuropean","Nordic","M","conf/vldb/HvasshovdBT00",2
"Øyvind Bakkeli","GreaterEuropean","WestEuropean","Nordic","M","conf/icse/WangAYBL16",3
"Ângela Costa","GreaterEuropean","WestEuropean","Italian","F","conf/acl/FialhoCCCCAMT13",4
